participant,electrode,P1,N1,EPN,LPP
vp01,Fp1,-0.8573,0.19866,-1.3448,-1.5344
vp01,AF7,-0.85447,0.12885,-0.87323,-1.2361
vp01,AF3,-1.0659,-0.020367,-1.8217,-1.947
vp01,F1,-1.0939,0.19565,-1.8238,-2.1082
vp01,F3,-1.0476,0.072708,-1.7376,-1.9968
vp01,F5,-1.0381,0.23531,-1.0377,-1.3486
vp01,F7,-0.71405,0.0093561,-0.42434,-0.75846
vp01,FT7,-0.44584,-0.38429,-0.038852,-0.043156
vp01,FC5,-0.73508,-0.12694,-0.70769,-0.86322
vp01,FC3,-0.65429,0.45423,-0.9813,-1.2178
vp01,FC1,-0.6817,0.95534,-1.2836,-1.5678
vp01,C1,-0.15117,1.3766,-0.39551,-0.51048
vp01,C3,0.076915,0.56927,0.16294,0.11361
vp01,C5,0.076461,-0.26127,0.24147,0.53232
vp01,T7,0.022135,-0.92077,0.62519,1.3558
vp01,TP7,0.80512,-1.789,0.90439,1.8191
vp01,CP5,0.82303,-0.98691,1.2,1.4569
vp01,CP3,0.86532,0.012561,1.7115,1.424
vp01,CP1,0.60782,0.94816,1.1201,0.95129
vp01,P1,0.95416,0.31297,2.0322,1.5667
vp01,P3,1.3461,-0.98242,1.7795,1.2959
vp01,P5,1.6895,-1.8321,1.5057,1.2948
vp01,P7,1.5541,-2.1148,1.1952,1.6801
vp01,P9,0.60041,-1.6183,1.195,1.9434
vp01,PO7,2.2243,-2.3898,0.67931,0.92145
vp01,PO3,1.0885,-1.2364,0.59852,0.32677
vp01,O1,1.3248,-2.4339,-1.0908,-0.69315
vp01,Iz,0.19091,-1.5638,0.056634,0.45023
vp01,Oz,0.5008,-2.1389,-0.99575,-0.61914
vp01,POz,1.0552,-1.2454,0.61644,0.35698
vp01,Pz,0.57301,0.55663,1.5869,1.2481
vp01,CPz,0.30495,1.1984,0.92537,0.73009
vp01,Fpz,-0.92594,0.26701,-1.5727,-1.4389
vp01,Fp2,-0.84202,0.64373,-1.4788,-1.4268
vp01,AF8,-0.9293,0.76017,-1.185,-0.92303
vp01,AF4,-0.98009,0.72032,-1.5212,-1.5721
vp01,Afz,-1.09,0.26259,-1.7931,-1.9748
vp01,Fz,-1.0803,0.57907,-1.5616,-1.9582
vp01,F2,-0.95015,0.90546,-1.363,-1.6134
vp01,F4,-0.97466,0.87784,-1.3789,-1.618
vp01,F6,-0.95819,1.2133,-0.64649,-0.50077
vp01,F8,-0.71523,0.76572,-0.83591,-0.62748
vp01,FT8,-0.52317,0.7343,-0.23893,0.27851
vp01,FC6,-0.64908,0.96367,-0.39467,-0.10374
vp01,FC4,-0.70007,1.2139,-0.82118,-0.96226
vp01,FC2,-0.70066,1.1969,-0.82505,-0.96644
vp01,FCz,-0.71895,1.4346,-0.94243,-1.2663
vp01,Cz,-0.18968,1.5234,-0.25905,-0.33782
vp01,C2,-0.17784,1.1374,0.13564,0.085271
vp01,C4,-0.20433,0.94237,-0.20314,-0.15544
vp01,C6,-0.27354,0.63548,0.1933,0.56314
vp01,T8,-0.20111,0.60642,0.39279,1.0281
vp01,TP8,0.23231,0.37901,1.1861,1.7558
vp01,CP6,0.27255,0.13204,0.79823,0.92933
vp01,CP4,0.2659,0.61328,0.77807,0.55055
vp01,CP2,0.30348,0.95573,1.0951,0.80072
vp01,P2,0.68425,0.24572,1.8997,1.2939
vp01,P4,0.68794,0.049244,1.5891,0.93152
vp01,P6,1.1234,-0.35258,1.5255,1.2325
vp01,P8,0.46613,-0.94014,1.2397,1.7448
vp01,P10,-0.17523,-0.3037,1.2884,1.7659
vp01,PO8,0.78893,-0.97836,0.7955,0.94819
vp01,PO4,0.95988,-0.90693,0.73755,0.49476
